ACCELYA,ACCELYA SOLUTIONS INDIA LTD,IT Consulting & Application Software,Information Technology,
ACCURACY,ACCURACY SHIPPING LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
ACE,ACTION CONSTRUCTION EQUIPMENT LTD,Transport Related Services,SERVICES,
ACRYSIL,ACRYSIL LTD,Houseware,CAPITAL GOODS,
ADANIENT,ADANI ENTERPRISES LTD,Trading Companies & Distributors,SERVICES,
ADANIGREEN,ADANI GREEN ENERGY LTD,Electric Utilities,Utilities,
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,Marine Port & Services,Industrials,
ADANIPOWER,ADANI POWER LTD,Electric Utilities,Utilities,
ADANITRANS,ADANI TRANSMISSION LTD,Electric Utilities - TRANSMISSION,Utilities,
ADFFOODS,ADF FOODS LTD,Packaged Foods,FMCG ,
ADL,ARCHIDPLY DECOR LTD,Forest Products - PLY & BOARDS,Basic Materials,
ADORWELD,ADOR WELDING LTD, Industrial Goods,Industrials,
ADROITINFO,ADROIT INFOTECH LTD,IT Consulting & Application Software,Information Technology,
ADSL,ALLIED DIGITAL SERVICES LTD,IT Consulting & Application Software,Information Technology,
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD,Hotels,SERVICES,
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LTD,Other Agricultural Products,FMCG ,
AEGISCHEM,AEGIS LOGISTICS LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
AFFLE,AFFLE (INDIA) LTD,Internet Software & Services,Information Technology,
AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD,Petrochemicals,Basic Materials,
AGRITECH,AGRI-TECH (INDIA) LTD,Other Agricultural Products,FMCG ,
AGROPHOS,AGRO PHOS INDIA LTD,FERTILIZERS,Basic Materials,
AHLADA,AHLADA ENGINEERS LTD,FURNITURE / HOME FURNISHING / FLOORING,CAPITAL GOODS,
AHLEAST,ASIAN HOTELS (EAST) LTD,Hotels,SERVICES,
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD,Realty,CAPITAL GOODS,
AHLWEST,ASIAN HOTELS (WEST) LTD,Hotels,SERVICES,
AIAENG,AIA ENGINEERING LTD, Industrial Goods,Industrials,
AIRAN,AIRAN LTD,IT ENABLED SERVICES - SOFTWARE,Information Technology,
AIROLAM,AIRO LAM LTD,PLYWOOD BOARDS/ LAMINATES,Basic Materials,
AJANTPHARM,AJANTA PHARMA LTD,Pharmaceuticals,Healthcare,
AJMERA,AJMERA REALTY & INFRA INDIA LTD,Realty,CAPITAL GOODS,
AJOONI,AJOONI BIOTECH LTD,ANIMAL FEED,Industrials,
AJRINFRA,AJR INFRA AND TOLLING LTD,Construction & Engineering,CAPITAL GOODS,
AKASH,AKASH INFRA PROJECTS LTD,ENGINEERING / DESIGNING /CONSTRUCTION,CAPITAL GOODS,
AKG,AKG EXIM LTD,Trading Companies & Distributors,SERVICES,
AKSHARCHEM,AKSHARCHEM INDIA LTD,DYES & PIGMENTS,Basic Materials,
AKSHOPTFBR,AKSH OPTIFIBRE LTD,Telecom Cables,Telecom,
AKZOINDIA,AKZO NOBEL INDIA LTD,PAINTS,Industrials,
ALANKIT,ALANKIT LTD,Diversified Commercial Services,Diversified,
ALBERTDAVD,ALBERT DAVID LTD,Pharmaceuticals,Healthcare,
ALCHEM,ALCHEMIST LTD,Pharmaceuticals,Healthcare,
ALEMBICLTD,ALEMBIC LTD,Pharmaceuticals,Healthcare,
ALICON,ALICON CASTALLOY LTD,Auto Parts & Equipment,CDGS ,
ALKALI,ALKALI METALS LTD,Specialty Chemicals,Basic Materials,
ALKEM,ALKEM LABORATORIES LTD,Pharmaceuticals,Healthcare,
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD,Specialty Chemicals,Basic Materials,
ALLCARGO,ALLCARGO LOGISTICS LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
ALLSEC,ALLSEC TECHNOLOGIES LTD,BPO / ITeS,Information Technology,
ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD,Financial Services,Finance,
ALOKINDS,ALOK INDUSTRIES LTD,FABRICS & GARMENTS,CDGS ,
ALPA,ALPA LABORATORIES LTD,Biotechnology,Healthcare,
ALPHAGEO,ALPHAGEO (INDIA) LTD,Oil Equipment & Services,Energy,
ALPSINDUS,ALPS INDUSTRIES LTD,Textiles,Industrials,
AMARAJABAT,AMARA RAJA BATTERIES LTD,Auto Parts & Equipment,CDGS ,
AMBER,AMBER ENTERPRISES INDIA LTD,Consumer Electronics,CDGS ,
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD,Trading Companies & Distributors,SERVICES,
AMBIKCO,AMBIKA COTTON MILLS LTD,Textiles,Industrials,
AMBUJACEM,AMBUJA CEMENTS LTD,Cement & Cement Products,Basic Materials,
AMDIND,AMD INDUSTRIES LTD,Containers & Packaging,Industrials,
AMIORG,AMI ORGANICS LTD,Pharmaceuticals,Healthcare,
AMJLAND,AMJ LAND HOLDINGS LTD,Realty,CAPITAL GOODS,
AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD,Pharmaceuticals,Healthcare,
ANANDRATHI,ANAND RATHI WEALTH LTD,Financial Services,Finance,
ANANTRAJ,ANANT RAJ LTD,Realty,CAPITAL GOODS,
ANDHRACEMT,ANDHRA CEMENTS LTD,Cement & Cement Products,Basic Materials,
ANDHRAPAP,ANDHRA PAPER LTD,Paper & Paper Products,Basic Materials,
ANDHRSUGAR,THE ANDHRA SUGARS LTD,Commodity Chemicals,Basic Materials,
ANDREWYU,ANDREW YULE & COMPANY LTD,Tea & Coffee,FMCG ,
ANGELONE,ANGEL ONE LTD,Financial Services,Finance,
ANIKINDS,ANIK INDUSTRIES LTD,Trading Companies & Distributors,SERVICES,
ANKITMETAL,ANKIT METAL & POWER LTD,Iron & Steel and Intermediary Products,Basic Materials,
ANMOL,ANMOL INDIA LTD,Distributors,CDGS ,
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD,Realty,CAPITAL GOODS,
ANSALHSG,ANSAL HOUSING LTD,Realty,CAPITAL GOODS,
ANTGRAPHIC,ANTARCTICA LTD,PACKAGING,Basic Materials,
ANUP,THE ANUP ENGINEERING LTD,Industrial Machinery,CAPITAL GOODS,
ANURAS,ANUPAM RASAYAN INDIA LTD,Specialty Chemicals,Basic Materials,
APARINDS,APAR INDUSTRIES LTD,Other Electrical Equipment/ Products,Industrials,
APCL,ANJANI PORTLAND CEMENT LTD,Cement & Cement Products,Basic Materials,
APCOTEXIND,APCOTEX INDUSTRIES LTD, Industrial Goods,Industrials,
APEX,APEX FROZEN FOODS LTD,Packaged Foods,FMCG ,
APLAPOLLO,APL APOLLO TUBES LTD,IRON & STEEL PRODUCTS,Basic Materials,
APLLTD,ALEMBIC PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,
APOLLO,APOLLO MICRO SYSTEMS LTD,Defence,CAPITAL GOODS,
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,Healthcare  - Facilities,Healthcare,
APOLLOPIPE,APOLLO PIPES LTD,PLASTIC PRODUCTS,Industrials,
APOLLOTYRE,APOLLO TYRES LTD,Tyres & Rubber Products,CAPITAL GOODS,
APOLSINHOT,APOLLO SINDOORI HOTELS LTD,Hotels,SERVICES,
APTECHT,APTECH LTD,IT Training Services,Information Technology,
APTUS,APTUS VALUE HOUSING FINANCE INDIA LTD,Housing Finance Companies,Finance,
ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD,Forest Products - PLY & BOARDS,Basic Materials,
ARCHIES,ARCHIES LTD,"Gift Articles,Toys & Greeting Cards",CDGS ,
ARCOTECH,ARCOTECH LTD,COPPER & COPPER PRODUCTS,Basic Materials,
ARENTERP,RAJDARSHAN INDUSTRIES LTD,Construction & Engineering,CAPITAL GOODS,
ARIES,ARIES AGRO LTD,FERTILIZERS,Basic Materials,
ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD,Realty,CAPITAL GOODS,
ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD,STOCKBROKING AND ALLIED,Finance,
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LTD,RESIDENTIAL/COMMERCIAL/SEZ Project,CAPITAL GOODS,
ARMANFIN,ARMAN FINANCIAL SERVICES LTD,Fin COS (including NBFCs),Finance,
AROGRANITE,ARO GRANITE INDUSTRIES LTD,GRANITES / MARBLES,Basic Materials,
ARROWGREEN,ARROW GREENTECH LTD,PLASTIC PRODUCTS,Industrials,
ARSHIYA,ARSHIYA LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD,Construction & Engineering,CAPITAL GOODS,
ARTEMISMED,ARTEMIS MEDICARE SERVICES LTD,Healthcare  - Services,Healthcare,
ARTNIRMAN,ART NIRMAN LTD,CONSTRUCTION CIVIL,CAPITAL GOODS,
ARVEE,ARVEE LABORATORIES (INDIA) LTD,Specialty Chemicals,Basic Materials,
ARVIND,ARVIND LTD,Textiles,Industrials,
ARVINDFASN,ARVIND FASHIONS LTD,Other Apparels & Accessories,CDGS ,
ARVSMART,ARVIND SMARTSPACES LTD,Realty,CAPITAL GOODS,
ASAHIINDIA,ASAHI INDIA GLASS LTD,GLASS,CAPITAL GOODS,
ASAHISONG,ASAHI SONGWON COLORS LTD,DYES & PIGMENTS,Basic Materials,
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD,Auto Parts & Equipment,CDGS ,
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Breweries & Distilleries,FMCG ,
ASHAPURMIN,ASHAPURA MINECHEM LTD,Mining,Basic Materials,
ASHIANA,ASHIANA HOUSING LTD,Realty,CAPITAL GOODS,
ASHIMASYN,ASHIMA LTD,Textiles,Industrials,
ASHOKA,ASHOKA BUILDCON LTD,Roads & Highways,Industrials,
ASHOKLEY,ASHOK LEYLAND LTD,"Construction, Agricultural & Commercial Vehicles",CAPITAL GOODS,
ASIANENE,ASIAN ENERGY SERVICES LTD,Oil Equipment & Services,Energy,
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,Hotels,SERVICES,
ASIANPAINT,ASIAN PAINTS LTD,PAINTS,Industrials,
ASIANTILES,ASIAN GRANITO INDIA LTD,CERAMICS / GRANITES ,CDGS ,
ASPINWALL,ASPINWALL AND COMPANY LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
ASTEC,ASTEC LIFESCIENCES LTD,Agrochemicals,Basic Materials,
ASTERDM,ASTER DM HEALTHCARE LTD,Healthcare  - Services,Healthcare,
ASTRAL,ASTRAL LTD,PLASTIC PRODUCTS,Industrials,
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD,Defence,CAPITAL GOODS,
ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD,Pharmaceuticals,Healthcare,
ASTRON,ASTRON PAPER & BOARD MILL LTD,Paper & Paper Products,Basic Materials,
ATFL,AGRO TECH FOODS LTD,Other Agricultural Products,FMCG ,
ATGL,ADANI TOTAL GAS LTD,Oil Marketing & Distribution,Energy,
ATLANTA,ATLANTA  LTD,Construction & Engineering,CAPITAL GOODS,
ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD,Cycles,CAPITAL GOODS,
ATUL,ATUL LTD,Specialty Chemicals,Basic Materials,
ATULAUTO,ATUL AUTO LTD,2/3 Wheelers,CDGS ,
AUBANK,AU SMALL FINANCE BANK LTD,BANKS - PVT,Finance,
AURIONPRO,AURIONPRO SOLUTIONS LTD,Software Products,Information Technology,
AUROPHARMA,AUROBINDO PHARMA LTD,Pharmaceuticals,Healthcare,
AURUM,AURUM PROPTECH LTD,IT Consulting & Application Software,Information Technology,
AUSOMENT,AUSOM ENTERPRISE LTD,Trading Companies & Distributors,SERVICES,
AUTOAXLES,AUTOMOTIVE AXLES LTD,Auto Parts & Equipment,CDGS ,
AUTOIND,AUTOLINE INDUSTRIES LTD,Auto Parts & Equipment,CDGS ,
AUTOLITIND,AUTOLITE (INDIA) LTD,Auto Parts & Equipment,CDGS ,
AVADHSUGAR,AVADH SUGAR & ENERGY LTD,Sugar,FMCG ,
AVANTIFEED,AVANTI FEEDS LTD,ANIMAL FEED,Industrials,
AVTNPL,AVT NATURAL PRODUCTS LTD,Other Agricultural Products,FMCG ,
AWHCL,ANTONY WASTE HANDLING CELL LTD,"WASTE MANAGEMENT	",SERVICES,
AXISBANK,AXIS BANK LTD,BANKS - PVT,Finance,
AXISBNKETF,AXIS MUTUAL FUND - AXIS BANKING ETF,MF / ETF,Finance,
AXISBPSETF,AXIS MUTUAL FUND - AXIS AAA BOND PLUS SDL ETF - 2026 MATURITY,MF / ETF,Finance,
AXISCADES,AXISCADES TECHNOLOGIES LTD,BPO / ITeS,Information Technology,
AXISCETF,AXIS MUTUAL FUND - AXIS CONSUMPTION ETF,MF / ETF,Finance,
AXISGOLD,AXIS MUTUAL FUND - AXIS GOLD ETF,MF / ETF - GOLD ETF,Finance,
AXISHCETF,AXIS MUTUAL FUND  - AXIS HEALTHCARE ETF,MF / ETF,Finance,
AXISNIFTY,AXIS MUTUAL FUND - AXIS NIFTY ETF,MF / ETF,Finance,
AXISTECETF,AXIS MUTUAL FUND - AXIS TECHNOLOGY ETF,MF / ETF,Finance,
AYMSYNTEX,AYM SYNTEX LTD,Textiles,Industrials,
BAFNAPH,BAFNA PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,
BAGFILMS,B.A.G FILMS AND MEDIA LTD,Broadcasting & Cable TV,SERVICES,
BAJAJ-AUTO,BAJAJ AUTO LTD,2/3 Wheelers,CDGS ,
BAJAJCON,BAJAJ CONSUMER CARE LTD,Personal Products,FMCG ,
BAJAJELEC,BAJAJ ELECTRICALS LTD,Household Appliances,CAPITAL GOODS,
BAJAJFINSV,BAJAJ FINSERV LTD,Holding Companies,Finance,
BAJAJHCARE,BAJAJ HEALTHCARE LTD,Pharmaceuticals,Healthcare,
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LTD,Sugar,FMCG ,
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD,Holding Companies,Finance,
BAJFINANCE,BAJAJ FINANCE LTD,Fin COS (including NBFCs),Finance,
BALAJITELE,BALAJI TELEFILMS LTD,Broadcasting & Cable TV,SERVICES,
BALAMINES,BALAJI AMINES LTD,Specialty Chemicals,Basic Materials,
BALAXI,BALAXI PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,
BALKRISHNA,BALKRISHNA PAPER MILLS LTD,Paper & Paper Products,Basic Materials,
BALKRISIND,BALKRISHNA INDUSTRIES LTD,Tyres & Rubber Products,CAPITAL GOODS,
BALLARPUR,BALLARPUR INDUSTRIES LTD,Paper & Paper Products,Basic Materials,
BALMLAWRIE,BALMER LAWRIE & COMPANY LTD,Containers & Packaging,Industrials,
BALPHARMA,BAL PHARMA LTD,Pharmaceuticals,Healthcare,
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Sugar,FMCG ,
BANARBEADS,BANARAS BEADS LTD,Other Apparels & Accessories,CDGS ,
BANARISUG,BANNARI AMMAN SUGARS LTD,Sugar,FMCG ,
BANCOINDIA,BANCO PRODUCTS (I) LTD,Auto Parts & Equipment,CDGS ,
BANDHANBNK,BANDHAN BANK LTD,BANKS - PVT,Finance,
BANG,BANG OVERSEAS LTD,Other Apparels & Accessories,CDGS ,
BANKA,BANKA BIOLOO LTD,WASTE MANAGEMENT,SERVICES,
BANKBARODA,BANK OF BARODA,BANKS - PSU,Finance,
BANKBEES,NIPPON INDIA ETF BANK BEES,MF / ETF,Finance,
BANKINDIA,BANK OF INDIA,BANKS - PSU,Finance,
BANSWRAS,BANSWARA SYNTEX LTD,Textiles,Industrials,
BARBEQUE,BARBEQUE NATION HOSPITALITY LTD,Restaurants,SERVICES,
BARTRONICS,BARTRONICS INDIA LTD,IT Consulting & Application Software,Information Technology,
BASF,BASF INDIA LTD,Specialty Chemicals,Basic Materials,
BASML,BANNARI AMMAN SPINNING MILLS LTD,Textiles,Industrials,
BATAINDIA,BATA INDIA LTD,Footwear,CDGS ,
BAYERCROP,BAYER CROPSCIENCE LTD,Agrochemicals,Basic Materials,
BBETF0432,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2032 - GROWTH,Bharat Bond - MF/ETF,Finance,
BBL,BHARAT BIJLEE LTD,Other Electrical Equipment/ Products,Industrials,
BBOX,BLACK BOX LTD,IT Consulting & Application Software,Information Technology,
BBTC,BOMBAY BURMAH TRADING CORPORATION LTD,Tea & Coffee,FMCG ,
BCG,BRIGHTCOM GROUP LTD,Software Products,Information Technology,
BCLIND,BCL INDUSTRIES LTD,CONSUMER FOOD,FMCG ,
BCP,B.C. POWER CONTROLS LTD,Other Electrical Equipment/ Products,Industrials,
BDL,BHARAT DYNAMICS LTD,Defence,CAPITAL GOODS,
BEARDSELL,BEARDSELL LTD,Containers & Packaging,Industrials,
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LTD,Packaged Foods,FMCG ,
BEDMUTHA,BEDMUTHA INDUSTRIES LTD,IRON & STEEL PRODUCTS,Basic Materials,
BEL,BHARAT ELECTRONICS LTD,Defence,CAPITAL GOODS,
BEML,BEML LTD,"Construction, Agricultural & Commercial Vehicles",CAPITAL GOODS,
BEPL,BHANSALI ENGINEERING POLYMERS LTD,Specialty Chemicals,Basic Materials,
BERGEPAINT,BERGER PAINTS (I) LTD,PAINTS,Industrials,
BESTAGRO,BEST AGROLIFE LTD,Agrochemicals,Basic Materials,
BFINVEST,BF INVESTMENT LTD,Holding Companies,Finance,
BFUTILITIE,BF UTILITIES LTD,Electric Utilities,Utilities,
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD,IT ENABLED SERVICES - SOFTWARE,Information Technology,
BGRENERGY,BGR ENERGY SYSTEMS LTD,Construction & Engineering,CAPITAL GOODS,
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LTD,Agrochemicals,Basic Materials,
BHAGERIA,BHAGERIA INDUSTRIES LTD,Specialty Chemicals,Basic Materials,
BHAGYANGR,BHAGYANAGAR INDIA LTD,COPPER & COPPER PRODUCTS,Basic Materials,
BHAGYAPROP,BHAGYANAGAR PROPERTIES LTD,Realty,CAPITAL GOODS,
BHANDARI,BHANDARI HOSIERY EXPORTS LTD,Textiles,Industrials,
BHARATFORG,BHARAT FORGE LTD, Industrial Products,Industrials,
BHARATGEAR,BHARAT GEARS LTD,Auto Parts & Equipment,CDGS ,
BHARATRAS,BHARAT RASAYAN LTD,Agrochemicals,Basic Materials,
BHARATWIRE,BHARAT WIRE ROPES LTD,IRON & STEEL PRODUCTS,Basic Materials,
BHARTIARTL,BHARTI AIRTEL LTD,Telecommunication Services,Telecom,
BHEL,BHARAT HEAVY ELECTRICALS LTD,Heavy Electrical Equipment,Industrials,
BIGBLOC,BIGBLOC CONSTRUCTION LTD,Cement & Cement Products,Basic Materials,
BIL,BHARTIYA INTERNATIONAL LTD,Apparels & Accessories,CDGS ,
BILENERGY,BIL ENERGY SYSTEMS LTD,Industrial Machinery,CAPITAL GOODS,
BINANIIND,BINANI INDUSTRIES LTD.,Cement & Cement Products,Basic Materials,
BINDALAGRO,OSWAL CHEMICALS & FERTILIZERS LTD,INVESTMENT COMPANIES,Finance,
BIOCON,BIOCON LTD,Biotechnology,Healthcare,
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,
BIRLACABLE,BIRLA CABLE LTD,Other Electrical Equipment/ Products,Industrials,
BIRLACORPN,BIRLA CORPORATION LTD,Cement & Cement Products,Basic Materials,
BIRLAMONEY,ADITYA BIRLA MONEY LTD,Financial Services,Finance,
BIRLATYRE,BIRLA TYRES LTD,Tyres & Rubber Products,CAPITAL GOODS,
BKMINDST,BKM INDUSTRIES LTD,Containers & Packaging,Industrials,
BLBLTD,BLB LTD,Financial Services,Finance,
BLISSGVS,BLISS GVS PHARMA LTD,Pharmaceuticals,Healthcare,
BLKASHYAP,B. L. KASHYAP AND SONS LTD,Realty,CAPITAL GOODS,
BLS,BLS INTERNATIONAL SERVICES LTD,Travel Support Services,SERVICES,
BLUECHIP,BLUE CHIP INDIA LTD,Financial Services,Finance,
BLUECOAST,BLUE COAST HOTELS LTD,Hotels,SERVICES,
BLUEDART,BLUE DART EXPRESS LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,
BLUESTARCO,BLUE STAR LTD,Consumer Electronics,CAPITAL GOODS,
BODALCHEM,BODAL CHEMICALS LTD,Specialty Chemicals,Basic Materials,
BOMDYEING,BOMBAY DYEING & MFG COMPANY LTD,Textiles,Industrials,
BOROLTD,BOROSIL LTD,GLASS,CAPITAL GOODS,
BORORENEW,BOROSIL RENEWABLES LTD,Houseware,CAPITAL GOODS,
BOSCHLTD,BOSCH LTD,Auto Parts & Equipment,CDGS ,
BPCL,BHARAT PETROLEUM CORPORATION LTD,Refineries & Petroleum Products,Energy,
BPL,BPL LTD,Consumer Electronics,CAPITAL GOODS,
BRFL,BOMBAY RAYON FASHIONS LTD,Textiles,Industrials,
BRIGADE,BRIGADE ENTERPRISES LTD,Realty,CAPITAL GOODS,
BRITANNIA,BRITANNIA INDUSTRIES LTD,Packaged Foods,FMCG ,
BRNL,BHARAT ROAD NETWORK LTD,Roads & Highways,Industrials,
BROOKS,BROOKS LABORATORIES LTD,Pharmaceuticals,Healthcare,
BSE,BSE LTD,STOCK EXCHANGE,Finance,
BSELINFRA,BSEL INFRASTRUCTURE REALTY LTD,Realty,CAPITAL GOODS,
BSHSL,BOMBAY SUPER HYBRID SEEDS LTD,AGRICULTURAL PRODUCTS,Industrials,
BSL,BSL LTD,Textiles,Industrials,
BSLGOLDETF,ADITYA BIRLA SUN LIFE GOLD ETF - GROWTH,MF / ETF - GOLD ETF,Finance,
BSLNIFTY,ADITYA BIRLA SUN LIFE NIFTY ETF - GROWTH,MF / ETF,Finance,
BSLSENETFG,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE SENSEX ETF,MF / ETF,Finance,
BSOFT,BIRLASOFT LTD,IT Consulting & Application Software,Information Technology,
BURGERKING,BURGER KING INDIA LTD,Restaurants,SERVICES,
BURNPUR,BURNPUR CEMENT LTD,Cement & Cement Products,Basic Materials,
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LTD,Household Appliances,CAPITAL GOODS,
BVCL,BARAK VALLEY CEMENTS LTD,Cement & Cement Products,Basic Materials,
BYKE,THE BYKE HOSPITALITY LTD,Hotels,SERVICES,
CADILAHC,CADILA HEALTHCARE LTD,Pharmaceuticals,Healthcare,
CALSOFT,CALIFORNIA SOFTWARE COMPANY LTD,Software Products,Information Technology,
CAMLINFINE,CAMLIN FINE SCIENCES LTD,Specialty Chemicals,Basic Materials,
CAMS,COMPUTER AGE MANAGEMENT SERVICES LTD,Financial Services,Finance,
CANBK,CANARA BANK,BANKS - PSU,Finance,
CANDC,C & C CONSTRUCTIONS LTD,Construction & Engineering,CAPITAL GOODS,
CANFINHOME,CAN FIN HOMES LTD,Housing Finance Companies,Finance,
CANTABIL,CANTABIL RETAIL INDIA LTD,Apparels & Accessories,CDGS ,
CAPACITE,CAPACIT'E INFRAPROJECTS LTD,Realty,CAPITAL GOODS,
CAPLIPOINT,CAPLIN POINT LABORATORIES LTD,Pharmaceuticals,Healthcare,
CAPTRUST,CAPITAL TRUST LTD,NBFC,Finance,
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,ABRASIVES,Industrials,
CAREERP,CAREER POINT LTD,Education,SERVICES,
CARERATING,CARE RATINGS LTD,Financial Services,Finance,
CARTRADE,CARTRADE TECH LTD,ONLINE SERVICES,SERVICES,
CASTEXTECH,CASTEX TECHNOLOGIES LTD,Auto Parts & Equipment,CDGS ,
CASTROLIND,CASTROL INDIA LTD,Oil Marketing & Distribution,Energy,
CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD,Realty,CAPITAL GOODS,
CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS LTD,Hotels,SERVICES,
CCL,CCL PRODUCTS (INDIA) LTD,Tea & Coffee,FMCG ,
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LTD,Stock Depository,Finance,
CEATLTD,CEAT LTD,Tyres & Rubber Products,CAPITAL GOODS,
CEBBCO,COMMERCIAL ENGINEERS & BODY BUILDERS CO LTD,"Construction, Agricultural & Commercial Vehicles",CAPITAL GOODS,
CELEBRITY,CELEBRITY FASHIONS LTD,Apparels & Accessories,CDGS ,
CENTENKA,CENTURY ENKA LTD,Textiles,Industrials,
CENTEXT,CENTURY EXTRUSIONS LTD,ALUMINIUM,Basic Materials,
CENTRALBK,CENTRAL BANK OF INDIA,BANKS - PSU,Finance,
CENTRUM,CENTRUM CAPITAL LTD,Financial Services,Finance,
CENTUM,CENTUM ELECTRONICS LTD,Diversified Commercial Services,Diversified,
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LTD,Forest Products - PLY & BOARDS,Basic Materials,
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD,Paper & Paper Products,Basic Materials,
CERA,CERA SANITARYWARE LTD,CERAMICS / GRANITES,CDGS ,
